No,Active_Ingredient,Concentration,Drug_Name,License_Code,Form,Manufacturer,Made_In,Minimum_Unit,Quantity,Price_w_VAT,Price_Total,Bidder,Department_Hospital,Group,Year,Level,Fiscal_Year,code,Is_AB,Usage
31,Roxithromycin,500mg,Zitromax Tab 500mg 3's,VN-11235-10,1 vỉ x 3 viên/ hộp; Viên nén bao phim; uống,Haupt Pharma Latina Srl,Italy,Viên,300,89820,26946e3,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C31,TRUE,Oral
32,Cefaclor,250mg,Ceclor Cap 250mg 12's,VN-17626-14,Hộp 1 vỉ x 12 viên; viên nang cứng; uống,Facta Farmaceutici SPA - Ý,Italy,Viên,4e3,13892,55568e3,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C32,TRUE,Oral
33,Cefoperazon,1g,Cefobid Inj 1g 1's,VN-13299-11,"1 lọ/ hộp; Bột pha tiêm, không kèm dung môi; Tiêm tĩnh mạch, tiêm bắp (IV, IM)",Haupt Pharma Latina Srl,Italy,Lọ,4e3,125700,5028e5,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C33,TRUE,Injection
35,Ceftazidime,1g,Fortum Inj.1g 1's (Italy),VN-10705-10,"Hộp 1 lọ ; Bột pha tiêm, có kèm dung môi; Tiêm tĩnh mạch, tiêm bắp (IV, IM)",GlaxoSmithKline Manufacturing SpA- Ý,Italy,Lọ,2e3,75600,1512e5,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C35,TRUE,Injection
36,Ceftriaxone,1g,Rocephin 1g I.V.,VN-17036-13,"Hộp 1 lọ thuốc + 1 ống 10ml dung môi pha tiêm, Thuốc bột pha tiêm  có dung môi, Tiêm",F.Hoffmann-La Roche Ltd,Switzerland,Lọ,1e4,181440,18144e5,BD04. Vimedimex,BV Hữu Nghị,BDG,2016,national,2015-2016,C36,TRUE,Injection
37,Cefuroxime,250mg,Zinnat Tab 250 10's,VN-5372-10,Hộp 1 vỉ x 10 viên ; Viên nén bao phim vĩ nhôm; uống,Glaxo Operations UK Ltd -Anh,UK,Viên,1e4,13166,13166e4,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C37,TRUE,Oral
38,Cefuroxime,500mg,Zinnat Tab 500mg 10's,VN-10261-10,Hộp 1 vỉ x 10 viên; Viên nén bao phim vĩ nhôm; uống,Glaxo Operations UK Ltd -Anh,UK,Viên,2e4,24589,49178e4,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C38,TRUE,Oral
39,Cefuroxime,750mg,Zinacef Inj.750mg 1's(Ital Y),VN-10706-10,"Hộp 1 lọ ; Bột pha tiêm, không kèm dung môi; Tiêm tĩnh mạch, tiêm bắp (IV, IM)",GlaxoSmithKline Manufacturing SpA- Ý,Italy,Lọ,4e3,44431,177724e3,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C39,TRUE,Injection
40,Ciprofloxacin,200mg/100ml,Ciprobay IV Inj 200mg 100ml,VN-14008-11,Hộp 1 lọ 100ml; Dịch truyền; Tiêm truyền,Bayer Pharma AG,Germany,Lọ,3e3,246960,74088e4,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C40,TRUE,Injection
41,Ciprofloxacin,500mg,Ciprobay Tab 500mg 10's,VN-14009-11,Hộp 1 vỉ x 10 viên; Viên nén bao phim; Uống,Bayer Pharma AG,Germany,Viên,6e3,13913,83478e3,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C41,TRUE,Oral
42,Roxithromycin,500mg,Klacid Forte,VN-9912-10(CóCVgiahạnhiệulựcSĐK),"Hộp 1 vỉ x 14 viên, Viên nén bao phim, Uống",Aesica Queenborough Ltd.,UK,Viên,5e3,35926,17963e4,BD04. Vimedimex,BV Hữu Nghị,BDG,2016,national,2015-2016,C42,TRUE,Oral
43,Roxithromycin,500mg,Klacid MR,VN-9913-10(CóCVgiahạnhiệulựcSĐK),"Hộp 1 vỉ x 5 viên, Viên nén giải phóng chậm, Uống",Aesica Queenborough Ltd.,UK,Viên,6e3,36375,21825e4,BD04. Vimedimex,BV Hữu Nghị,BDG,2016,national,2015-2016,C43,TRUE,Oral
44,Clindamycin,300mg,Dalacin C Cap 300mg 16's,VN-18404-14,2 vĩ x 8 viên; Viên nang; uống,Pfizer PGM,France,Viên,1500,11273,16909500,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C44,TRUE,Oral
45,Clindamycin,600mg,Dalacin C Inj 600mg 4ml,VN-16855-13,"1 ống/ hộp; Dung dịch tiêm; Truyền tĩnh mạch, tiêm bắp (IV, IM)",Pfizer Manufacturing Belgium NV,Belgium,Ống,1500,104801,157201500,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C45,TRUE,Injection
46,Doripenem,500mg,Doribax,VN-13741-11,"Hộp 10 lọ bột pha dung dịch tiêm truyền, Bột pha dung dịch tiêm truyền, Tiêm","Shionogi & Co., Ltd. (đóng gói tại Janssen pharmaceutical N.V)",Japan,Lọ,200,664800,13296e4,BD04. Vimedimex,BV Hữu Nghị,BDG,2016,national,2015-2016,C46,TRUE,Injection
47,Ertapenem,1g,Invanz Inj 1g 1's,VN-8831-09,"Hộp 1 lọ Bột pha tiêm; Bột pha tiêm, không kèm dung môi; Tiêm tĩnh mạch, tiêm bắp (IV, IM)",Laboratoire Merck Sharp & Dohme - Chibret (Mirabel); đóng gói tại Merck Sharp & Dohme (Australia) Pty. Ltd.,France,Lọ,500,552421,276210500,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C47,TRUE,Injection
50,Levofloxacin,500mg,TAVANIC TAB 500mg B5 Tabs,VN-10551-10,Hộp 1 vỉ x 5 viên; viên nén bao phim; uống,Sanofi Winthrop Industrie,France,Viên,6e3,36950,2217e5,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C50,TRUE,Oral
51,Levofloxacin,250mg,Cravit Tab 250mg 5's,VN-17415-13,Hộp 1 vỉ x 5 viên; Viên nén; Uống,Interthai Pharmaceutical Manufacturing Ltd,Thailand,Viên,1e3,23650,2365e4,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C51,TRUE,Oral
52,Levofloxacin,500mg/100ml,TAVANIC 500mg Inj B/1 Bottle x 100ml,VN-11312-10,Hộp 1 lọ 100ml; Dung dịch tiêm truyền; tiêm (IV),Sanofi-Aventis Deutschland GmbH,Germany,Lọ,12e3,179e3,2148e6,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C52,TRUE,Injection
53,Levofloxacin,750mg/150ml,Cravit Iv 750mg/150ml 1's,VN-9170-09,Hộp 1 lọ 150ml; Dung dịch tiêm truyền; Tiêm truyền tĩnh mạch (IV),Olic (Thailand) Ltd.,Thailand,Lọ,1200,325e3,39e7,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C53,TRUE,Injection
54,Meropenem,1g,Meronem Inj 1g 10's,VN-17831-14,Hộp 10 lọ 30ml; Bột pha dung dịch tiêm/ truyền tĩnh mạch; Tiêm truyền tĩnh mạch (IV),ACS Dobfar S.P.A; cơ sở đóng gói 1:Zambon Switzerland Ltd./ cơ sở đóng gói 2: AstraZeneca UK Limited,Italy,Lọ,2500,803723,2009307500,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C54,TRUE,Injection
55,Meropenem,0.5g,Meronem Inj 500mg 10's,VN-17832-14,Hộp 10 lọ 20ml; Bột pha dung dịch tiêm/ truyền tĩnh mạch; Tiêm truyền,ACS Dobfar S.P.A; cơ sở đóng gói 1:Zambon Switzerland Ltd./ cơ sở đóng gói 2: AstraZeneca UK Limited,Italy,Lọ,500,464373,232186500,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C55,TRUE,Injection
56,Moxifloxacin,400mg,Avelox Tab 400mg 5's,VN-19011-15,Hộp 1 vỉ x 5 viên; viên nén bao phim; uống,Bayer Pharma AG,Germany,Viên,1e3,52500,525e5,BD05. DLTW 2,BV Hữu Nghị,BDG,2016,national,2015-2016,C56,TRUE,Oral
